LGA_Name,State,Latitude,Longitude,mean_nightlight_intensity,MPI,Headcount_Ratio,Intensity_of_Deprivation,In_Severe_Poverty,population_density,health_facility_count,school_count,road_density_km,ndvi_mean,rainfall_mm,idp_count,food_price_index,composite_poverty_score,cluster,cluster_label,risk_level
Aba North,Abia,5.33333333,7.31666667,1.0802054892734987,0.0419,9.3971,44.6266,3.3537,976.0618985066469,106.0,334.0,2.9274,0.5077218107499085,2332.0694288615146,0.0,212.41612241532493,0.041645095,0,High Risk - Severe Poverty,Minimal
Aba South,Abia,5.1,7.35,0.637621157883126,0.0419,9.3971,44.6266,3.3537,976.0618985066468,87.0,334.0,2.9274,0.282414240845015,2381.3011769199493,0.0,212.41612241532493,0.040190924,0,High Risk - Severe Poverty,Minimal
Arochukwu,Abia,5.38333333,7.91666667,0.014918226434072857,0.0419,9.3971,44.6266,3.3537,976.0618985066469,68.0,334.0,2.9274,0.5214942632455933,2567.6756833863346,0.0,212.41612241532493,0.041816205,0,High Risk - Severe Poverty,Minimal
Bende,Abia,5.56666667,7.63333333,0.0006944497732015757,0.0419,9.3971,44.6266,3.3537,976.0618985066469,77.0,334.0,2.9274,0.597152646521826,2323.1315042899587,0.0,212.41612241532493,0.041295562,0,High Risk - Severe Poverty,Minimal
Ikwuano,Abia,5.43333333,7.56666667,0.030060560580134562,0.0419,9.3971,44.6266,3.3537,976.0618985066469,57.0,334.0,2.9274,0.5579042054819942,2265.5270326007258,0.0,212.41612241532493,0.041075192,0,High Risk - Severe Poverty,Minimal
Isiala Ngwa North,Abia,5.388966,7.446948,0.050338381568537094,0.0419,9.3971,44.6266,3.3537,976.061898506647,0.0,334.0,2.9274,0.5428230888322598,2232.0338562939314,0.0,212.41612241532493,0.0409695,0,High Risk - Severe Poverty,Minimal
Isiala Ngwa South,Abia,5.36241,7.39998,0.050338381568537094,0.0419,9.3971,44.6266,3.3537,976.0618985066468,0.0,334.0,2.9274,0.5309324911986446,2270.5820918879413,0.0,212.41612241532493,0.042202007,0,High Risk - Severe Poverty,Minimal
Isuikwuato,Abia,5.533333,7.483333,0.00198605889454484,0.0419,9.3971,44.6266,3.3537,976.0618985066468,58.0,334.0,2.9274,0.47258127787102994,2227.320205168772,0.0,212.41612241532493,0.04152899,0,High Risk - Severe Poverty,Minimal
Obi Ngwa,Abia,5.155402,7.457067,0.3874943871049262,0.0419,9.3971,44.6266,3.3537,976.0618985066469,110.0,334.0,2.9274,0.5007388818252921,2379.37685372988,0.0,212.41612241532493,0.041645095,0,High Risk - Severe Poverty,Minimal
Ohafia,Abia,5.61666667,7.83333333,0.0019547693163532334,0.0419,9.3971,44.6266,3.3537,976.0618985066469,77.0,334.0,2.9274,0.5063043124708099,2306.850457687444,0.0,212.41612241532493,0.04141237,0,High Risk - Severe Poverty,Minimal
